Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (19770519),Luka Doncic,19770519,PG/G/UTIL,10600,DAL@ATL 10/21/2021 07:30PM ET,DAL,55.15
PF/C,Giannis Antetokounmpo (19770522),Giannis Antetokounmpo,19770522,PF/C/F/UTIL,10300,MIL@MIA 10/21/2021 08:00PM ET,MIL,56.37
PG,Stephen Curry (19770526),Stephen Curry,19770526,PG/G/UTIL,10000,LAC@GSW 10/21/2021 10:00PM ET,GSW,51.42
SF,Paul George (19770529),Paul George,19770529,SF/F/UTIL,9700,LAC@GSW 10/21/2021 10:00PM ET,LAC,44.75
PF,Kawhi Leonard (19770532),Kawhi Leonard,19770532,PF/F/UTIL,9500,LAC@GSW 10/21/2021 10:00PM ET,LAC,46.26
PG,Trae Young (19770535),Trae Young,19770535,PG/G/UTIL,9100,DAL@ATL 10/21/2021 07:30PM ET,ATL,46.69
SF,Jimmy Butler (19770538),Jimmy Butler,19770538,SF/F/UTIL,8300,MIL@MIA 10/21/2021 08:00PM ET,MIA,44.98
PG,Kyle Lowry (19770541),Kyle Lowry,19770541,PG/G/UTIL,8100,MIL@MIA 10/21/2021 08:00PM ET,MIA,37.97
C,Bam Adebayo (19770544),Bam Adebayo,19770544,C/UTIL,7600,MIL@MIA 10/21/2021 08:00PM ET,MIA,41.62
SF,Khris Middleton (19770546),Khris Middleton,19770546,SF/F/UTIL,7300,MIL@MIA 10/21/2021 08:00PM ET,MIL,39.92
C,Clint Capela (19770549),Clint Capela,19770549,C/UTIL,7200,DAL@ATL 10/21/2021 07:30PM ET,ATL,37.83
PF,Kristaps Porzingis (19770551),Kristaps Porzingis,19770551,PF/F/UTIL,7100,DAL@ATL 10/21/2021 07:30PM ET,DAL,36.62
PG,Delon Wright (19770554),Delon Wright,19770554,PG/G/UTIL,7000,DAL@ATL 10/21/2021 07:30PM ET,ATL,26.27
PF/C,Draymond Green (19770557),Draymond Green,19770557,PF/C/F/UTIL,6900,LAC@GSW 10/21/2021 10:00PM ET,GSW,33.96
PF/C,John Collins (19770561),John Collins,19770561,PF/C/F/UTIL,6800,DAL@ATL 10/21/2021 07:30PM ET,ATL,31.40
PG,Reggie Jackson (19770565),Reggie Jackson,19770565,PG/G/UTIL,6700,LAC@GSW 10/21/2021 10:00PM ET,LAC,22.69
PG/SG,Victor Oladipo (19770568),Victor Oladipo,19770568,PG/SG/G/UTIL,6600,MIL@MIA 10/21/2021 08:00PM ET,MIA,36.24
PG,Jrue Holiday (19770572),Jrue Holiday,19770572,PG/G/UTIL,6500,MIL@MIA 10/21/2021 08:00PM ET,MIL,38.44
SG/SF,Tim Hardaway Jr. (19770575),Tim Hardaway Jr.,19770575,SG/SF/F/G/UTIL,6400,DAL@ATL 10/21/2021 07:30PM ET,DAL,25.60
SG,Klay Thompson (19770580),Klay Thompson,19770580,SG/G/UTIL,6300,LAC@GSW 10/21/2021 10:00PM ET,GSW,0
SG/SF,Kevin Huerter (19770583),Kevin Huerter,19770583,SG/SF/F/G/UTIL,6200,DAL@ATL 10/21/2021 07:30PM ET,ATL,24.57
PG/SG,Bogdan Bogdanovic (19770588),Bogdan Bogdanovic,19770588,PG/SG/G/UTIL,6100,DAL@ATL 10/21/2021 07:30PM ET,ATL,29.25
PG/SG,Eric Bledsoe (19770592),Eric Bledsoe,19770592,PG/SG/G/UTIL,6000,LAC@GSW 10/21/2021 10:00PM ET,LAC,24.56
SG/SF,Andrew Wiggins (19770596),Andrew Wiggins,19770596,SG/SF/F/G/UTIL,5900,LAC@GSW 10/21/2021 10:00PM ET,GSW,32.35
C,Brook Lopez (19770601),Brook Lopez,19770601,C/UTIL,5600,MIL@MIA 10/21/2021 08:00PM ET,MIL,24.20
PG/SG,Jordan Poole (19770603),Jordan Poole,19770603,PG/SG/G/UTIL,5500,LAC@GSW 10/21/2021 10:00PM ET,GSW,19.18
PF/C,Serge Ibaka (19770607),Serge Ibaka,19770607,PF/C/F/UTIL,5500,LAC@GSW 10/21/2021 10:00PM ET,LAC,24.45
PG/SG,Donte DiVincenzo (19770611),Donte DiVincenzo,19770611,PG/SG/G/UTIL,5400,MIL@MIA 10/21/2021 08:00PM ET,MIL,24.91
SF/PF,Dorian Finney-Smith (19770615),Dorian Finney-Smith,19770615,SF/PF/F/UTIL,5300,DAL@ATL 10/21/2021 07:30PM ET,DAL,22.64
PG/SG,Tyler Herro (19770619),Tyler Herro,19770619,PG/SG/G/UTIL,5200,MIL@MIA 10/21/2021 08:00PM ET,MIA,27.75
PF,Marcus Morris Sr. (19770623),Marcus Morris Sr.,19770623,PF/F/UTIL,5100,LAC@GSW 10/21/2021 10:00PM ET,LAC,22.55
C,Ivica Zubac (19770626),Ivica Zubac,19770626,C/UTIL,5000,LAC@GSW 10/21/2021 10:00PM ET,LAC,20.80
SG,Duncan Robinson (19770628),Duncan Robinson,19770628,SG/G/UTIL,5000,MIL@MIA 10/21/2021 08:00PM ET,MIA,22.70
C,James Wiseman (19770631),James Wiseman,19770631,C/UTIL,4900,LAC@GSW 10/21/2021 10:00PM ET,GSW,21.64
PF,Danilo Gallinari (19770633),Danilo Gallinari,19770633,PF/F/UTIL,4800,DAL@ATL 10/21/2021 07:30PM ET,ATL,22.23
SF,De'Andre Hunter (19770636),De'Andre Hunter,19770636,SF/F/UTIL,4700,DAL@ATL 10/21/2021 07:30PM ET,ATL,25.11
PF/C,Nemanja Bjelica (19770639),Nemanja Bjelica,19770639,PF/C/F/UTIL,4600,LAC@GSW 10/21/2021 10:00PM ET,GSW,14.78
SG/SF,Reggie Bullock (19770648),Reggie Bullock,19770648,SG/SF/F/G/UTIL,4500,DAL@ATL 10/21/2021 07:30PM ET,DAL,20.09
C,Boban Marjanovic (19770653),Boban Marjanovic,19770653,C/UTIL,4500,DAL@ATL 10/21/2021 07:30PM ET,DAL,11.90
SG/SF,Terance Mann (19770655),Terance Mann,19770655,SG/SF/F/G/UTIL,4500,LAC@GSW 10/21/2021 10:00PM ET,LAC,14.91
SG/SF,Pat Connaughton (19770643),Pat Connaughton,19770643,SG/SF/F/G/UTIL,4500,MIL@MIA 10/21/2021 08:00PM ET,MIL,16.75
SG/SF,Grayson Allen (19770660),Grayson Allen,19770660,SG/SF/F/G/UTIL,4400,MIL@MIA 10/21/2021 08:00PM ET,MIL,19.64
SF/PF,Otto Porter Jr. (19770665),Otto Porter Jr.,19770665,SF/PF/F/UTIL,4300,LAC@GSW 10/21/2021 10:00PM ET,GSW,21.20
PG/SG,Lou Williams (19770673),Lou Williams,19770673,PG/SG/G/UTIL,4100,DAL@ATL 10/21/2021 07:30PM ET,ATL,19.05
PF/C,Bobby Portis (19770669),Bobby Portis,19770669,PF/C/F/UTIL,4100,MIL@MIA 10/21/2021 08:00PM ET,MIL,23.16
PF/C,P.J. Tucker (19770677),P.J. Tucker,19770677,PF/C/F/UTIL,4000,MIL@MIA 10/21/2021 08:00PM ET,MIA,13.15
SG/SF,Cam Reddish (19770681),Cam Reddish,19770681,SG/SF/F/G/UTIL,3900,DAL@ATL 10/21/2021 07:30PM ET,ATL,21.83
SG/SF,Sterling Brown (19770686),Sterling Brown,19770686,SG/SF/F/G/UTIL,3900,DAL@ATL 10/21/2021 07:30PM ET,DAL,18.28
C,Moses Brown (19770691),Moses Brown,19770691,C/UTIL,3800,DAL@ATL 10/21/2021 07:30PM ET,DAL,23.63
SF/PF,Nicolas Batum (19770693),Nicolas Batum,19770693,SF/PF/F/UTIL,3800,LAC@GSW 10/21/2021 10:00PM ET,LAC,21.17
SG,Andre Iguodala (19770701),Andre Iguodala,19770701,SG/G/UTIL,3700,LAC@GSW 10/21/2021 10:00PM ET,GSW,14.82
SF/PF,Jordan Nwora (19770697),Jordan Nwora,19770697,SF/PF/F/UTIL,3700,MIL@MIA 10/21/2021 08:00PM ET,MIL,9.76
PG/SG,Gabe Vincent (19770704),Gabe Vincent,19770704,PG/SG/G/UTIL,3700,MIL@MIA 10/21/2021 08:00PM ET,MIA,8.97
PF/C,Markieff Morris (19770708),Markieff Morris,19770708,PF/C/F/UTIL,3700,MIL@MIA 10/21/2021 08:00PM ET,MIA,14.76
C,Dewayne Dedmon (19770712),Dewayne Dedmon,19770712,C/UTIL,3700,MIL@MIA 10/21/2021 08:00PM ET,MIA,15.88
SG,DaQuan Jeffries (19770714),DaQuan Jeffries,19770714,SG/G/UTIL,3600,DAL@ATL 10/21/2021 07:30PM ET,ATL,9.73
PF/C,Maxi Kleber (19770719),Maxi Kleber,19770719,PF/C/F/UTIL,3600,DAL@ATL 10/21/2021 07:30PM ET,DAL,17.88
C,Kevon Looney (19770717),Kevon Looney,19770717,C/UTIL,3600,LAC@GSW 10/21/2021 10:00PM ET,GSW,15.00
PG,Damion Lee (19770723),Damion Lee,19770723,PG/G/UTIL,3600,LAC@GSW 10/21/2021 10:00PM ET,GSW,14.44
PG/SG,Jalen Brunson (19770729),Jalen Brunson,19770729,PG/SG/G/UTIL,3500,DAL@ATL 10/21/2021 07:30PM ET,DAL,22.30
C,Gorgui Dieng (19770737),Gorgui Dieng,19770737,C/UTIL,3500,DAL@ATL 10/21/2021 07:30PM ET,ATL,15.41
C,Willie Cauley-Stein (19770744),Willie Cauley-Stein,19770744,C/UTIL,3500,DAL@ATL 10/21/2021 07:30PM ET,DAL,13.44
SF,Jonathan Kuminga (19770726),Jonathan Kuminga,19770726,SF/F/UTIL,3500,LAC@GSW 10/21/2021 10:00PM ET,GSW,0
PG/SG,George Hill (19770733),George Hill,19770733,PG/SG/G/UTIL,3500,MIL@MIA 10/21/2021 08:00PM ET,MIL,14.92
SG/SF,Max Strus (19770739),Max Strus,19770739,SG/SF/F/G/UTIL,3500,MIL@MIA 10/21/2021 08:00PM ET,MIA,9.03
PG/SF,Justise Winslow (19770751),Justise Winslow,19770751,PG/SF/F/G/UTIL,3400,LAC@GSW 10/21/2021 10:00PM ET,LAC,16.49
SG/SF,Rodney Hood (19770746),Rodney Hood,19770746,SG/SF/F/G/UTIL,3400,MIL@MIA 10/21/2021 08:00PM ET,MIL,9.37
C,Jahlil Okafor (19770756),Jahlil Okafor,19770756,C/UTIL,3300,DAL@ATL 10/21/2021 07:30PM ET,ATL,9.61
C,Dwight Powell (19770767),Dwight Powell,19770767,C/UTIL,3300,DAL@ATL 10/21/2021 07:30PM ET,DAL,13.74
PF/C,Juan Toscano-Anderson (19770758),Juan Toscano-Anderson,19770758,PF/C/F/UTIL,3300,LAC@GSW 10/21/2021 10:00PM ET,GSW,17.84
SG/SF,Luke Kennard (19770762),Luke Kennard,19770762,SG/SF/F/G/UTIL,3300,LAC@GSW 10/21/2021 10:00PM ET,LAC,14.02
SG/SF,Timothe Luwawu-Cabarrot (19770769),Timothe Luwawu-Cabarrot,19770769,SG/SF/F/G/UTIL,3200,DAL@ATL 10/21/2021 07:30PM ET,ATL,11.47
SG,Keon Johnson (19770777),Keon Johnson,19770777,SG/G/UTIL,3200,LAC@GSW 10/21/2021 10:00PM ET,LAC,0
PF,Thanasis Antetokounmpo (19770774),Thanasis Antetokounmpo,19770774,PF/F/UTIL,3200,MIL@MIA 10/21/2021 08:00PM ET,MIL,6.8
PG,Sharife Cooper (19770786),Sharife Cooper,19770786,PG/G/UTIL,3100,DAL@ATL 10/21/2021 07:30PM ET,ATL,0
SF/PF,Josh Green (19770792),Josh Green,19770792,SF/PF/F/UTIL,3100,DAL@ATL 10/21/2021 07:30PM ET,DAL,6.8
PF,Jordan Bell (19770780),Jordan Bell,19770780,PF/F/UTIL,3100,LAC@GSW 10/21/2021 10:00PM ET,GSW,11.58
SG,Moses Moody (19770783),Moses Moody,19770783,SG/G/UTIL,3100,LAC@GSW 10/21/2021 10:00PM ET,GSW,0
C,Isaiah Hartenstein (19770799),Isaiah Hartenstein,19770799,C/UTIL,3100,LAC@GSW 10/21/2021 10:00PM ET,LAC,13.94
SG,Marcus Garrett (19770789),Marcus Garrett,19770789,SG/G/UTIL,3100,MIL@MIA 10/21/2021 08:00PM ET,MIA,0
PF,Wenyen Gabriel (19770796),Wenyen Gabriel,19770796,PF/F/UTIL,3100,MIL@MIA 10/21/2021 08:00PM ET,MIL,9
C,Johnny Hamilton (19770801),Johnny Hamilton,19770801,C/UTIL,3000,DAL@ATL 10/21/2021 07:30PM ET,ATL,0
SF/PF,Solomon Hill (19770803),Solomon Hill,19770803,SF/PF/F/UTIL,3000,DAL@ATL 10/21/2021 07:30PM ET,ATL,10.40
PG/SG,Ibi Watson (19770807),Ibi Watson,19770807,PG/SG/G/UTIL,3000,DAL@ATL 10/21/2021 07:30PM ET,ATL,0
PF,Jalen Johnson (19770811),Jalen Johnson,19770811,PF/F/UTIL,3000,DAL@ATL 10/21/2021 07:30PM ET,ATL,0
SG,Skylar Mays (19770814),Skylar Mays,19770814,SG/G/UTIL,3000,DAL@ATL 10/21/2021 07:30PM ET,ATL,6.57
PG/SG,AJ Lawson (19770817),AJ Lawson,19770817,PG/SG/G/UTIL,3000,DAL@ATL 10/21/2021 07:30PM ET,ATL,0
C,Onyeka Okongwu (19770821),Onyeka Okongwu,19770821,C/UTIL,3000,DAL@ATL 10/21/2021 07:30PM ET,ATL,10.36
SF,Justin Jackson (19770880),Justin Jackson,19770880,SF/F/UTIL,3000,DAL@ATL 10/21/2021 07:30PM ET,DAL,11.97
PG,Trey Burke (19770883),Trey Burke,19770883,PG/G/UTIL,3000,DAL@ATL 10/21/2021 07:30PM ET,DAL,10.97
