Contest ID,Entry ID,PG,SG,G,SF,PF,F,C,UTIL," ",Instructions,ID,First Name,Last Name,ID + Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
9674139,145427024," "," "," "," "," "," "," "," "," ",1. The Contest ID column lists the contest you are editing; you may only edit one contest at a time," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," ",2. The Entry ID column lists all of your contest entries for this contest," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," ",3. Your current lineup is listed next to each entry (blank for reserved entries)," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," ",4. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," ","5. Use values from the ""ID"" or ""ID + Name"" column (you cannot use just the player's name)"," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," ",6. For faster processing only include entries you are changing in the file you upload," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.4387$nba.g.2373854,Derrick,Rose,nba.p.4387$nba.g.2373854 - Derrick Rose,PG,NY,CHI,NY@CHI,8:00PM EDT,23,27.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.4631$nba.g.2373854,Taj,Gibson,nba.p.4631$nba.g.2373854 - Taj Gibson,C,NY,CHI,NY@CHI,8:00PM EDT,10,8.7," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.4890$nba.g.2373854,Kemba,Walker,nba.p.4890$nba.g.2373854 - Kemba Walker,PG,NY,CHI,NY@CHI,8:00PM EDT,21,23.3," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.4893$nba.g.2373854,Alec,Burks,nba.p.4893$nba.g.2373854 - Alec Burks,SF,NY,CHI,NY@CHI,8:00PM EDT,12,18.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5054$nba.g.2373854,Evan,Fournier,nba.p.5054$nba.g.2373854 - Evan Fournier,SG,NY,CHI,NY@CHI,8:00PM EDT,24,32.4," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5157$nba.g.2373854,Nerlens,Noel,nba.p.5157$nba.g.2373854 - Nerlens Noel,C,NY,CHI,NY@CHI,8:00PM EDT,10,22.0,INJ," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5318$nba.g.2373854,Julius,Randle,nba.p.5318$nba.g.2373854 - Julius Randle,PF,NY,CHI,NY@CHI,8:00PM EDT,44,53.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5708$nba.g.2373854,Wayne,Selden Jr.,nba.p.5708$nba.g.2373854 - Wayne Selden Jr.,SG,NY,CHI,NY@CHI,8:00PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6020$nba.g.2373854,Kevin,Knox II,nba.p.6020$nba.g.2373854 - Kevin Knox II,SF,NY,CHI,NY@CHI,8:00PM EDT,10,0.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6047$nba.g.2373854,Mitchell,Robinson,nba.p.6047$nba.g.2373854 - Mitchell Robinson,C,NY,CHI,NY@CHI,8:00PM EDT,17,28.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6165$nba.g.2373854,RJ,Barrett,nba.p.6165$nba.g.2373854 - RJ Barrett,SF,NY,CHI,NY@CHI,8:00PM EDT,23,24.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6207$nba.g.2373854,Luka,Samanic,nba.p.6207$nba.g.2373854 - Luka Samanic,PF,NY,CHI,NY@CHI,8:00PM EDT,10,7.7," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6400$nba.g.2373854,Obi,Toppin,nba.p.6400$nba.g.2373854 - Obi Toppin,PF,NY,CHI,NY@CHI,8:00PM EDT,10,19.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6417$nba.g.2373854,Immanuel,Quickley,nba.p.6417$nba.g.2373854 - Immanuel Quickley,SG,NY,CHI,NY@CHI,8:00PM EDT,10,11.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6567$nba.g.2373854,Quentin,Grimes,nba.p.6567$nba.g.2373854 - Quentin Grimes,SG,NY,CHI,NY@CHI,8:00PM EDT,10,3.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6578$nba.g.2373854,Miles,McBride,nba.p.6578$nba.g.2373854 - Miles McBride,PG,NY,CHI,NY@CHI,8:00PM EDT,10,1.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6600$nba.g.2373854,Jericho,Sims,nba.p.6600$nba.g.2373854 - Jericho Sims,C,NY,CHI,NY@CHI,8:00PM EDT,10,6.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.4614$nba.g.2373854,DeMar,DeRozan,nba.p.4614$nba.g.2373854 - DeMar DeRozan,SF,CHI,NY,NY@CHI,8:00PM EDT,33,38.4," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.4897$nba.g.2373854,Nikola,Vucevic,nba.p.4897$nba.g.2373854 - Nikola Vucevic,C,CHI,NY,NY@CHI,8:00PM EDT,38,41.3," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5324$nba.g.2373854,Zach,LaVine,nba.p.5324$nba.g.2373854 - Zach LaVine,SG,CHI,NY,NY@CHI,8:00PM EDT,36,38.9,GTD," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5747$nba.g.2373854,Derrick,Jones Jr.,nba.p.5747$nba.g.2373854 - Derrick Jones Jr.,PF,CHI,NY,NY@CHI,8:00PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5754$nba.g.2373854,Alex,Caruso,nba.p.5754$nba.g.2373854 - Alex Caruso,SG,CHI,NY,NY@CHI,8:00PM EDT,11,24.9," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5764$nba.g.2373854,Lonzo,Ball,nba.p.5764$nba.g.2373854 - Lonzo Ball,PG,CHI,NY,NY@CHI,8:00PM EDT,30,37.4," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5841$nba.g.2373854,Tony,Bradley,nba.p.5841$nba.g.2373854 - Tony Bradley,C,CHI,NY,NY@CHI,8:00PM EDT,10,5.2," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6026$nba.g.2373854,Troy,Brown Jr.,nba.p.6026$nba.g.2373854 - Troy Brown Jr.,SF,CHI,NY,NY@CHI,8:00PM EDT,10,6.9," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6061$nba.g.2373854,Alize,Johnson,nba.p.6061$nba.g.2373854 - Alize Johnson,PF,CHI,NY,NY@CHI,8:00PM EDT,10,8.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6169$nba.g.2373854,Coby,White,nba.p.6169$nba.g.2373854 - Coby White,PG,CHI,NY,NY@CHI,8:00PM EDT,10,27.2,INJ," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6264$nba.g.2373854,Matt,Thomas,nba.p.6264$nba.g.2373854 - Matt Thomas,SG,CHI,NY,NY@CHI,8:00PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6269$nba.g.2373854,Javonte,Green,nba.p.6269$nba.g.2373854 - Javonte Green,SF,CHI,NY,NY@CHI,8:00PM EDT,10,11.9," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6282$nba.g.2373854,Tyler,Cook,nba.p.6282$nba.g.2373854 - Tyler Cook,PF,CHI,NY,NY@CHI,8:00PM EDT,10,9.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6396$nba.g.2373854,Patrick,Williams,nba.p.6396$nba.g.2373854 - Patrick Williams,PF,CHI,NY,NY@CHI,8:00PM EDT,10,13.1," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6436$nba.g.2373854,Marko,Simonovic,nba.p.6436$nba.g.2373854 - Marko Simonovic,C,CHI,NY,NY@CHI,8:00PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6454$nba.g.2373854,Devon,Dotson,nba.p.6454$nba.g.2373854 - Devon Dotson,SG,CHI,NY,NY@CHI,8:00PM EDT,10,4.7," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6580$nba.g.2373854,Ayo,Dosunmu,nba.p.6580$nba.g.2373854 - Ayo Dosunmu,PG,CHI,NY,NY@CHI,8:00PM EDT,10,9.3," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.4290$nba.g.2374010,Thaddeus,Young,nba.p.4290$nba.g.2374010 - Thaddeus Young,PF,SA,DAL,SA@DAL,8:30PM EDT,13,1.4," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5322$nba.g.2374010,Doug,McDermott,nba.p.5322$nba.g.2374010 - Doug McDermott,SF,SA,DAL,SA@DAL,8:30PM EDT,10,14.5,INJ," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5640$nba.g.2374010,Jakob,Poeltl,nba.p.5640$nba.g.2374010 - Jakob Poeltl,C,SA,DAL,SA@DAL,8:30PM EDT,24,38.9," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5660$nba.g.2374010,Dejounte,Murray,nba.p.5660$nba.g.2374010 - Dejounte Murray,PG,SA,DAL,SA@DAL,8:30PM EDT,33,45.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5726$nba.g.2374010,Bryn,Forbes,nba.p.5726$nba.g.2374010 - Bryn Forbes,SG,SA,DAL,SA@DAL,8:30PM EDT,10,1.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5823$nba.g.2374010,Zach,Collins,nba.p.5823$nba.g.2374010 - Zach Collins,PF,SA,DAL,SA@DAL,8:30PM EDT,10,0.0,INJ," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5842$nba.g.2374010,Derrick,White,nba.p.5842$nba.g.2374010 - Derrick White,SG,SA,DAL,SA@DAL,8:30PM EDT,25,34.2," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6029$nba.g.2374010,Lonnie,Walker IV,nba.p.6029$nba.g.2374010 - Lonnie Walker IV,SG,SA,DAL,SA@DAL,8:30PM EDT,12,26.3," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6059$nba.g.2374010,Keita,Bates-Diop,nba.p.6059$nba.g.2374010 - Keita Bates-Diop,SF,SA,DAL,SA@DAL,8:30PM EDT,10,8.9," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6109$nba.g.2374010,Drew,Eubanks,nba.p.6109$nba.g.2374010 - Drew Eubanks,C,SA,DAL,SA@DAL,8:30PM EDT,10,13.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6217$nba.g.2374010,Keldon,Johnson,nba.p.6217$nba.g.2374010 - Keldon Johnson,PF,SA,DAL,SA@DAL,8:30PM EDT,18,26.9," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6292$nba.g.2374010,Devontae,Cacok,nba.p.6292$nba.g.2374010 - Devontae Cacok,PF,SA,DAL,SA@DAL,8:30PM EDT,10,5.0,GTD," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6403$nba.g.2374010,Devin,Vassell,nba.p.6403$nba.g.2374010 - Devin Vassell,SF,SA,DAL,SA@DAL,8:30PM EDT,11,24.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6433$nba.g.2374010,Tre,Jones,nba.p.6433$nba.g.2374010 - Tre Jones,PG,SA,DAL,SA@DAL,8:30PM EDT,10,2.2," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6554$nba.g.2374010,Joshua,Primo,nba.p.6554$nba.g.2374010 - Joshua Primo,SG,SA,DAL,SA@DAL,8:30PM EDT,10,3.1," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6583$nba.g.2374010,Joe,Wieskamp,nba.p.6583$nba.g.2374010 - Joe Wieskamp,SG,SA,DAL,SA@DAL,8:30PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6614$nba.g.2374010,Jock,Landale,nba.p.6614$nba.g.2374010 - Jock Landale,C,SA,DAL,SA@DAL,8:30PM EDT,10,2.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5160$nba.g.2374010,Trey,Burke,nba.p.5160$nba.g.2374010 - Trey Burke,PG,DAL,SA,SA@DAL,8:30PM EDT,10,4.8,INJ," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5194$nba.g.2374010,Tim,Hardaway Jr.,nba.p.5194$nba.g.2374010 - Tim Hardaway Jr.,SG,DAL,SA,SA@DAL,8:30PM EDT,18,25.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5195$nba.g.2374010,Reggie,Bullock,nba.p.5195$nba.g.2374010 - Reggie Bullock,SG,DAL,SA,SA@DAL,8:30PM EDT,10,10.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5356$nba.g.2374010,Dwight,Powell,nba.p.5356$nba.g.2374010 - Dwight Powell,C,DAL,SA,SA@DAL,8:30PM EDT,10,18.7," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5464$nba.g.2374010,Kristaps,Porzingis,nba.p.5464$nba.g.2374010 - Kristaps Porzingis,PF,DAL,SA,SA@DAL,8:30PM EDT,28,27.2,O," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5466$nba.g.2374010,Willie,Cauley-Stein,nba.p.5466$nba.g.2374010 - Willie Cauley-Stein,C,DAL,SA,SA@DAL,8:30PM EDT,10,5.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5524$nba.g.2374010,Boban,Marjanovic,nba.p.5524$nba.g.2374010 - Boban Marjanovic,C,DAL,SA,SA@DAL,8:30PM EDT,10,17.3,GTD," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5693$nba.g.2374010,Dorian,Finney-Smith,nba.p.5693$nba.g.2374010 - Dorian Finney-Smith,SF,DAL,SA,SA@DAL,8:30PM EDT,15,23.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5821$nba.g.2374010,Frank,Ntilikina,nba.p.5821$nba.g.2374010 - Frank Ntilikina,PG,DAL,SA,SA@DAL,8:30PM EDT,10,4.1," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5859$nba.g.2374010,Sterling,Brown,nba.p.5859$nba.g.2374010 - Sterling Brown,SG,DAL,SA,SA@DAL,8:30PM EDT,10,4.1,O," "
