F,F,F,F,F,F
23938463,23976858,23938485,23938474,23938473,23938483
23938469,23976858,23938485,23938474,23938473,23938483
23938466,23938469,23938463,23976858,23938473,23938483
23938466,23938463,23938475,23976858,23938485,23938483
23938469,23938463,23976858,23938485,23938473,23938483
23938471,23938467,23938463,23976858,23938485,23938483
23938471,23938466,23938463,23976858,23938485,23938483
23938469,23938463,23938475,23976858,23938473,23938483
23938469,23938463,23976858,23938479,23938485,23938483
23938471,23938469,23938463,23976858,23938473,23938483
23938471,23938463,23938475,23976858,23938485,23938483
23938471,23938466,23938469,23976858,23938485,23938483
23938469,23938463,23976858,23938481,23938485,23938483
23938470,23938463,23976858,23938485,23938474,23938483
23938471,23938469,23938475,23976858,23938485,23938483
23938467,23976858,23938477,23938474,23938473,23938483
23938466,23976858,23938477,23938474,23938473,23938483
23938463,23938464,23976858,23938485,23938474,23938483
23976858,23938482,23938485,23938474,23938473,23938483
23976858,23938477,23938485,23938474,23938473,23938483
